logS,smiles
-0.46,Oc1cccnc1
-0.46,COC(=O)c1cccnc1
-0.47,Cc1ncnc2nccnc12
-0.48,NC[C@@H](O)c1ccccc1
-0.48,CN1[C@H]2C[C@H](OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
-0.49,CCCOC=O
-0.5,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@@H]2O[C@@H](CN)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](N)[C@H]1O
-0.5,CC(C)(C)CCO
-0.53,N[C@H](Cc1c[nH]cn1)C(=O)O
-0.54,CCC[C@@H](O)[C@@H](CC)CO
-0.55,NC(=O)CC[C@H](N)C(=O)O
-0.59,C[C@@H]1CO1
-0.6,O=C1CCCCC1
-0.6,CC(=O)OCC(COC(C)=O)OC(C)=O
-0.62,C[C@H](O)C(C)(C)C
-0.63,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
-0.63,ClCCl
-0.66,CCCCOC(N)=O
-0.66,CCCOCC
-0.66,CCOC(=O)CC
-0.68,Cc1cccc(O)c1
-0.68,O=CNc1ccccc1
-0.7,Oc1ccc(Cl)cc1
-0.7,Oc1cccc(Cl)c1
-0.7,Cc1ccc(O)cc1
-0.7,CC[C@H](O)C(C)C
-0.71,OCCOc1ccccc1
-0.72,CC[C@H](C)[C@@H](C)O
-0.72,CCCOC(C)=O
-0.72,CC(C)(C)C(C)(C)O
-0.72,Nc1ccccc1O
-0.73,OCCN(CCO)c1ccccc1
-0.74,C=CC(=O)OCC
-0.74,O=[N+]([O-])c1ccc(O)cc1
-0.74,ONc1ccccc1
-0.74,NC(=O)C[C@@H](N)C(=O)O
-0.77,N#C[C@H](O[C@H]1O[C@@H](CO[C@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1
-0.77,CCOCCOCC
-0.78,c1ccc2[nH]nnc2c1
-0.8,Nc1ccc(O)cc1
-0.8,Cn1ccc(=O)[nH]c1=O
-0.8,CCC[C@@H](O)CC
-0.8,C=C(C)C(=O)OC
-0.8,CC(C)(C)COC(N)=O
-0.82,CCOC(=O)CC(=O)OCC
-0.82,c1ccoc1
-0.82,CCCC(=O)OC
-0.83,C=CCS[S@@](=O)CC=C
-0.83,C=CC(=O)CCC
-0.84,O=C(O)c1cccnc1
-0.85,CCCCC=O
-0.85,CN(N=O)C(N)=O
-0.85,C=COCC
-0.85,Cc1cccc(N)c1
-0.85,CCC(O)(CC)CC
-0.85,OCc1ccccc1O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
-0.86,O=Cc1ccccc1O
-0.87,Clc1cnc2cncnc2n1
-0.88,C[C@H]1CC[C@H](O)CC1
-0.88,CCCC(C(C)=O)C(C)=O
-0.89,ClCBr
-0.89,O=C(O)Cc1ccccc1
-0.9,CC(=O)NC(N)=O
-0.91,COc1cnc2cncnc2n1
-0.92,C[C@H](O)c1ccccc1
-0.92,CC(C)CC(C)(C)O
-0.96,CCOC(=O)CCC(=O)OCC
-0.96,C/C=C\CC#N
-0.96,NC(=O)c1ccccc1
-0.96,O=Cc1ccc(O)cc1
-0.97,Cn1c(=O)c2c(ncn2C)n(C)c1=O
-0.98,CC(=O)Nc1ccc(N)cc1
-0.99,O=C1C=CC(=O)C=C1
-0.99,CCCCOC
-1.0,CI
-1.0,CCC[C@](C)(O)CC
-1.01,CC(C)COC=O
-1.03,CC(=O)Nc1ccc(O)cc1
-1.04,c1ccc2c(c1)CCN2
-1.07,O=c1[nH]cc(F)c(=O)[nH]1
-1.08,CCCCC(C)(C)O
-1.09,Oc1ccc(Br)cc1
-1.09,CCBr
-1.1,CC(C)OC(C)C
-1.1,O=C(O)COc1ccccc1
-1.11,COc1ncc2nccnc2n1
-1.11,COc1ncnc2nccnc12
-1.12,NCCc1ccc(O)cc1
-1.13,C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
-1.14,CC(C)CCCO
-1.14,Nc1cc[nH]c(=O)n1
-1.16,c1ccc2ocnc2c1
-1.16,O=S(CCCl)CCCl
-1.17,CCC(CC)CO
-1.17,ClC(Cl)Cl
-1.19,Cc1ccc(O)c(C)c1
-1.19,O=Cc1ccccc1
-1.2,Cc1ccc(CO)cc1
-1.2,COC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@H]1C(=O)OC
-1.21,C=CC(=O)OCC(C)C
-1.22,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1
-1.22,CC(C)C(O)C(C)C
-1.23,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
-1.23,CC(=O)NS(=O)(=O)c1ccc(N)cc1
-1.24,CCCCOC(C)=O
-1.24,CCCCCCO
-1.25,O=C1NC(=O)C(=O)C(=O)N1
-1.27,CC[C@](C)(O)C(C)(C)C
-1.28,CC(=O)c1ccccc1
-1.28,CC(=O)c1cccc(N)c1
-1.28,CCCC(=O)OCC
-1.29,CC(Cl)Cl
-1.3,COc1ccc(NC(C)=O)cc1
-1.3,c1ccc2ncccc2c1
-1.3,CCCCCC=O
-1.32,ClCCBr
-1.33,CC(=O)Nc1ccccc1
-1.33,CC(=O)CCC(C)C
-1.36,CCc1ccccc1O
-1.36,CCCCC(=O)OC
-1.37,N=C(N)N[N+](=O)[O-]
-1.37,Nc1cccc(Cl)c1
-1.38,OCCCc1ccccc1
-1.38,CC(C)CC[C@@H](C)O
-1.39,CCC1(CC)C(=O)NC(=O)NC1=O
-1.4,Cc1cc(C)cc(O)c1
-1.4,CCN(CC)CCOC(=O)c1ccc(N)cc1
-1.4,CC(=O)Nc1ccccc1Cl
-1.4,CCCC(O)CCC
-1.41,O=C(O)CCc1ccccc1
-1.42,CCCCCC(C)=O
-1.42,c1ccc(-c2ccccn2)nc1
-1.43,Cc1cccc(O)c1C
-1.44,CCCCNCCCC
-1.45,c1ccsc1
-1.45,c1ccc2cnccc2c1
-1.47,O=C(O)c1ccsc1
-1.47,CCCCl
-1.48,ClCC(Cl)Cl
-1.49,COc1ccc(C=O)cc1
-1.5,O=S(=O)(CCCl)CCCl
-1.51,N=C(N)NCC(=O)O
-1.52,c1ccc2[nH]ccc2c1
-1.52,CCCC(C)(C)CO
-1.52,Nc1ccccc1C(=O)O
-1.52,COc1ccc2c3c1O[C@@H]1[C@@H](O)C=C[C@@H]4[C@H](C2)N(C)CC[C@@]341
-1.53,NCc1ccccc1
-1.54,c1cc(-c2ccncc2)ccn1
-1.54,Cc1ccc(C)c(O)c1
-1.55,CC(C)(C)CCCO
-1.55,O=C(O)c1ccccc1
-1.55,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1C
-1.55,CSc1cnc2cncnc2n1
-1.55,Oc1ccc(Cl)cc1Cl
-1.55,CCCCC[C@H](C)O
-1.56,CCCCC(=O)CC(C)=O
-1.56,C=CCc1ccc(O)c(OC)c1
-1.56,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O
-1.57,Cc1cc(O)ccc1Cl
-1.57,CNC(=O)Oc1ccccc1C1OCCO1
-1.58,CC(=O)Nc1ccc(C=O)cc1
-1.59,COC(=O)c1ccc(N)cc1
-1.6,c1ccc([C@H]2CO2)cc1
-1.6,C[C@@H](Cl)CCl
-1.6,CC(=O)CC(=O)CC(C)C
-1.6,COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC
-1.6,O=C(O)c1ccccc1C(F)(F)F
-1.6,CC(C)C[C@H](C)CO
-1.6,CN(C)C(=O)Nc1ccccc1
-1.61,CC(=O)Nc1ccc(S(N)(=O)=O)cc1
-1.61,COc1ccc(C[C@@H]2NC[C@@H](O)[C@@H]2OC(C)=O)cc1
-1.62,CNC(=O)O/N=C(/CSC)C(C)(C)C
-1.62,C=CCN(CC=C)C(=O)C(Cl)Cl
-1.62,ClCCCCl
-1.62,CCCOCCC
-1.63,O=Cc1ccc2c(c1)OCO2
-1.64,c1ccccc1
-1.64,C=C(Cl)Cl
-1.64,O=C1NS(=O)(=O)c2ccccc21
-1.64,CC1(C)O[C@]2(C)CC[C@H]1CC2
-1.64,CCCCC1(CC)C(=O)NC(=O)NC1=O
-1.66,Nc1ccc(Cl)cc1
-1.67,CCCC(C)(COC(N)=O)COC(N)=O
-1.67,CC(=O)OC1CCCCC1
-1.68,O=C(O)c1cccc([N+](=O)[O-])c1
-1.68,BrCCBr
-1.7,COc1c(Cl)ccc(Cl)c1C(=O)O
-1.7,CCNc1ccccc1
-1.7,CCCCCCC=O
-1.71,FC(F)(F)[C@@H](Cl)Br
-1.71,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
-1.72,CCCCCC(C)(C)O
-1.72,CCCC[C@H](C)[C@@H](C)O
-1.73,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1
-1.73,CCCBr
-1.74,O=[N+]([O-])c1ccccc1O
-1.74,ClC(Cl)C(Cl)Cl
-1.74,Cc1ccc(S(N)(=O)=O)cc1
-1.75,CCCCC(=O)OCC
-1.76,CSc1ncc2nccnc2n1
-1.76,NC(=O)c1ccccc1O
-1.76,CCN(CC)CC(=O)Nc1c(C)cccc1C
-1.77,C/C=C\C=C/C(=O)O
-1.77,NC(=S)Nc1ccccc1
-1.77,O=C1CSC(=S)N1
-1.78,COC(=O)c1ccc(O)cc1
-1.78,CCCOC(=O)c1cc(O)c(O)c(O)c1
-1.78,CC(=O)Nc1ccc(F)cc1
-1.8,O=[N+]([O-])c1ccccc1
-1.8,CNC(=O)Oc1cccc(C)c1
-1.8,Fc1ccccc1
-1.81,CCCCCCCO
-1.82,O=C(O)c1ccccc1O
-1.83,CCC(=O)c1ccccc1
-1.83,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C
-1.84,C=C1C[C@@]23C[C@@]1(O)CC[C@@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@H]3C(=O)O
-1.85,CCCCOCCCC
-1.85,COc1ccccc1
-1.86,CCCC(CCC)C(=O)O
-1.87,COc1ccc2c(c1O)[C@]13CCN(C)[C@]1(C=CC(=O)C3)CC2
-1.87,C[C@H]1CCCC(=O)C1
-1.89,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@H]2C1
-1.89,CCCCCOC(C)=O
-1.89,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
-1.89,COc1ccc2c(c1OC)C(=O)OC2
-1.89,O=C(O)CCCCCCCC(=O)O
-1.9,ClC(Br)Br
-1.91,BrC(Br)Br
-1.91,CN1[C@H]2CC[C@@H]1C[C@@H](OC(=O)[C@@H](CO)c1ccccc1)C2
-1.91,CC(=O)Nc1ccc(OC(C)=O)cc1
-1.92,CCCOC(=O)CCC
-1.92,COc1ccc(C=O)c(C(=O)O)c1OC
-1.92,CCCCCCOC(N)=O
-1.92,CN(C)c1ccccc1
-1.92,CCC(=O)Nc1ccccc1
-1.92,CC(=O)OCCC(C)C
-1.93,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
-1.93,O[C@@H](c1ccccc1)[C@H](O)c1ccccc1
-1.94,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
-1.94,Cc1ccc2ccc(C)nc2c1
-1.95,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
-1.96,COc1ccccc1[N+](=O)[O-]
-1.96,O=C(O)/C=C\c1c[nH]cn1
-1.96,CC[C@@H](C)Cl
-1.96,Nc1ccccc1[N+](=O)[O-]
-1.97,C1=CCC=CC1
-1.99,Oc1ccc2c(c1)CCCC2
-2.0,CC(Cl)(Cl)Cl
-2.02,Cc1ccccc1S(N)(=O)=O
-2.03,CCCCCl
-2.05,CCCCCCC(C)=O
-2.05,CNC(=O)Oc1ccccc1OC(C)C
-2.06,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
-2.06,C=C(C(=O)O)c1ccccc1
-2.06,C=C(C)[C@@H]1CC=C(C)C(=O)C1
-2.06,Cc1ccccc1C(=O)O
-2.07,O[C@@H]1CCN2C1=Nc1ccccc1[C@H]2O
-2.07,O=C(O)Cc1c[nH]c2ccccc12
-2.08,Cc1ccc(C(C)C)cc1O
-2.09,CC(=O)Nc1cccc(C)c1
-2.09,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1
-2.09,CC(C)I
-2.09,C=CCC=C
-2.09,CCCCCC[C@@H](C)O
-2.09,COc1cc2c(cc1OC)[C@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@@H]5C[C@@H]43
-2.1,OCc1c(Cl)cccc1Cl
-2.11,CCCC[C@H](CC)CO
-2.11,O=C(O)c1ccccc1C(=O)O
-2.12,CN1[C@H]2CC[C@@H]1C[C@@H](OC(=O)[C@@H](CO)c1ccccc1)C2
-2.12,Sc1ccccc1
-2.12,Nc1ncnc2[nH]cnc12
-2.13,CN1CSC(=S)N(C)C1
-2.14,Cc1cccc(C(=O)O)c1
-2.14,O=c1ccc2ccccc2[nH]1
-2.15,CC(C)CNC(=O)N1CCNC1=O
-2.15,C1=CC=CCC=C1
-2.16,O=C(O)COc1ccccc1Cl
-2.16,Oc1ccc2ncccc2c1
-2.17,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
-2.17,CCOc1ccc(NC(N)=O)cc1
-2.18,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
-2.18,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1
-2.18,ClCC(Cl)(Cl)Cl
-2.19,O=[N+]([O-])c1ccc(/C=N\O)o1
-2.19,Nc1cccc([N+](=O)[O-])c1
-2.21,CCC1(C(C)C)C(=O)NC(=O)NC1=O
-2.21,Cc1ccccc1
-2.21,O=C(O)C(O)(c1ccccc1)c1ccccc1
-2.22,Oc1cccc2ccccc12
-2.22,Cc1ccc(C(C)C)c(O)c1
-2.22,C[C@@H](Oc1ccccc1Cl)C(=O)O
-2.22,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O
-2.23,Cc1cc(Cl)ccc1OCC(=O)O
-2.24,CCCCc1c(C)nc(N(C)C)nc1O
-2.24,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1
-2.24,CC(=O)Nc1ccccc1O
-2.26,O=c1cc[nH]c(=S)[nH]1
-2.28,Oc1ccc2ccccc2c1
-2.28,O=C1NC(=O)C([N+](=O)[O-])C(=O)N1
-2.29,CCCI
-2.3,CCCCCCCC(=O)O
-2.3,CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1
-2.31,Fc1cc(F)c(F)c(F)c1
-2.31,ClC(Cl)(Cl)Cl
-2.32,CCOC(=O)c1ccccc1
-2.32,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2
-2.32,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
-2.33,CCCOC(=O)c1ccc(N)cc1
-2.33,NNC(=O)Nc1ccccc1
-2.34,COC(=O)c1ccccc1O
-2.34,Oc1c(Cl)cc(Cl)cc1Cl
-2.34,CC[C@@]1(c2ccccc2)CCC(=O)NC1=O
-2.35,CCc1cccc(CC)c1N
-2.35,CCOC(=O)c1ccccc1C(=O)OCC
-2.35,CCOC(=O)c1ccc(O)cc1
-2.36,CCCCCCCC=O
-2.36,C#CCCCC
-2.36,CN(C)C(=O)NC1CCCCCCC1
-2.36,CSc1ncnc2nccnc12
-2.36,S=c1ncc2nccnc2[nH]1
-2.37,CCOc1ccc(NC(C)=O)cc1
-2.37,CCCCBr
-2.38,Clc1ccccc1
-2.38,ClC[C@H](Br)CBr
-2.38,N#Cc1ccccc1C#N
-2.38,Oc1ncnc2[nH]ncc12
-2.39,ClCc1ccccc1
-2.39,Oc1ccccc1-c1ccccc1
-2.39,CSc1ccccc1
-2.4,CCCC(Cl)Cl
-2.41,COC(=O)c1ccc(OC)cc1
-2.41,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
-2.41,COc1ccc([N+](=O)[O-])cc1
-2.42,Cc1c[nH]c2ccccc12
-2.43,CC(C)CBr
-2.43,Cc1cc(=O)[nH]c(=S)[nH]1
-2.43,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
-2.43,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
-2.44,Cc1cccc([N+](=O)[O-])c1
-2.44,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C
-2.45,Cc1cnc(S)nc1O
-2.45,C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)O
-2.47,Nc1cc(Cl)cc(C(=O)O)c1Cl
-2.48,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
-2.48,O=C(O)/C=C\c1ccccc1
-2.48,CC(C)N(C(=O)CCl)c1ccccc1
-2.51,O=C(O)COc1ccc(Cl)cc1Cl
-2.52,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@H]12
-2.52,CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O
-2.53,COc1cc(Cl)c(Cl)cc1O
-2.54,C/C=C\CC
-2.54,Fc1ccc(CCl)cc1
-2.54,Oc1cccc2ncccc12
-2.54,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1
-2.55,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O
-2.56,CC1=C(C(=O)Nc2ccccc2)CCCO1
-2.57,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
-2.58,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
-2.58,CCCCCCCC(C)=O
-2.59,C1=CCCCC1
-2.59,O=C(O)c1cccc(Cl)c1
-2.59,CCc1cccs1
-2.6,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
-2.6,ClC(Cl)C(Cl)(Cl)Cl
-2.6,COc1ccc([C@](O)(c2cncnc2)C2CC2)cc1
-2.61,O=C(O)Cn1c(=O)sc2cccc(Cl)c21
-2.62,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
-2.62,CCCCCCCOC(N)=O
-2.62,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
-2.63,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H](O[N+](=O)[O-])CO[C@@H]12
-2.63,CCC(=O)c1ccc(N)cc1
-2.63,CCC[C@@H](C)Cl
-2.64,C1CCCC1
-2.64,CN(C)CCN(Cc1ccccc1)c1ccccn1
-2.64,CN(C)CCN(Cc1cccs1)c1ccccn1
-2.65,O=C(O)Cc1cccc2ccccc12
-2.68,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
-2.68,C=CCCC=C
-2.68,C=CCCC
-2.68,c1cnc2c(c1)ccc1ncccc12
-2.69,CC(=O)Nc1ccc([N+](=O)[O-])cc1
-2.69,C[C@@H](Cl)C(C)(C)Cl
-2.7,C[C@H](Cl)[C@@H](C)Cl
-2.7,Nc1ccc(-c2ccc(N)cc2)cc1
-2.7,NCCCCCCCCCCC(=O)O
-2.71,CCCCCCC(=O)OCC
-2.71,CCOc1ccc(C(=O)OCCN(CC)CC)cc1
-2.72,CCCCOC(=O)c1ccc(O)cc1
-2.73,O=C(O)c1ccccc1I
-2.73,CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC
-2.73,CCCCCCl
-2.74,CN1C(=O)NC(=O)[C@@](C)(C2=CCCCC2)C1=O
-2.75,CCCCCCCCC(=O)O
-2.75,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
-2.76,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
-2.77,S=c1[nH]cnc2nccnc12
-2.78,c1ccc2c(c1)cnc1ccccc12
-2.8,Cc1cc(O)cc(C)c1Cl
-2.8,Cc1ccccc1C
-2.81,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
-2.82,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O
-2.82,Cc1cccc(C)c1
-2.82,CC[C@H]1[C@H]2C[C@@H]3[C@@H]4N(C)c5ccccc5[C@@]45C[C@@H]([C@@H]2[C@@H]5O)N3[C@H]1O
-2.82,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
-2.84,CC(=O)Nc1ccc(Cl)cc1
-2.85,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
-2.86,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
-2.86,N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O
-2.87,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@H]3[C@@H](O)[C@H]21
-2.87,Nc1cnn(-c2ccccc2)c(=O)c1Cl
-2.88,CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@@H]3C[C@H]12
-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
-2.89,CC(C)CCBr
-2.91,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
-2.92,Oc1cccc2c(O)cccc12
-2.92,C=CCc1ccc(OC)cc1
-2.92,NC(=O)c1ccccc1C(N)=O
-2.93,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1
-2.93,COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1
-2.96,CCCCI
-2.96,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
-2.98,CN(C)C(=O)C(c1ccccc1)c1ccccc1
-3.0,CCOC(=O)/C=C\c1ccccc1
-3.0,CCC(=O)Nc1ccc(Cl)c(Cl)c1
-3.0,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
-3.01,CCCCCCCCCO
-3.01,CN(C)C(=O)N[C@H]1C[C@@H]2C[C@H]1[C@H]1CCC[C@H]21
-3.01,C#CCCCCC
-3.02,CCCCc1c(C)nc(NCC)nc1O
-3.03,CCN(CC)c1ccccc1
-3.04,CC(C)Cc1ccc([C@@H](C)C(=O)NO)cc1
-3.04,CCNc1nc(NC(C)C)nc(SC)n1
-3.05,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
-3.05,CCCCNC(=O)NS(=O)(=O)c1ccccc1
-3.05,Clc1ccccc1Cl
-3.07,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12
-3.07,CCCCCBr
-3.08,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
-3.09,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccccc12
-3.09,CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@]2(C)C=CC1=O
-3.11,CCc1ccc(C)cc1
-3.11,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)[C@@H]1CC[C@]2(O)C(=O)CO
-3.12,CCCCCCCl
-3.12,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)[C@H]3C[C@@H]12
-3.12,CCCCN(CCCC)CCCC
-3.12,FC(F)(Cl)C(F)(F)Cl
-3.13,C=CCOC(=O)c1ccccc1C(=O)OCC=C
-3.13,C/C=C\c1ccc(OC)cc1
-3.13,Fc1ccc(I)cc1
-3.14,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@@H](O)[C@@H]12
-3.14,BrC(Br)(Br)Br
